click-out url,product name,description,manufacturer,image url,price,manufacturer part #,nextag product cat.,ground shipping,product condition,marketing message,stock status,upc
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C8765WN&click=15","Remanufactured HP C8765WN Inkjet Cartridge","Remanufactured Black InkJet Cartridges for HP Deskjet/OfficeJet/Photosmart/PSC Printers - replace C8765WN (HP 94)","","http://www.compandsave.com/photos/INK-HP-C8765WN-2.jpg","16.16","C8765WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160306568"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C8766WN&click=15","Remanufactured HP C8766WN Inkjet Cartridge","Remanufactured Tri-Color InkJet Cartridges for HP DeskJet/OfficeJet/PhotoSmart/PSC Printers - replace C8766WN (HP 95)","","http://www.compandsave.com/photos/INK-HP-C8766WN-2.jpg","16.16","C8766WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160306605"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C8767WN&click=15","Remanufactured HP C8767WN Inkjet Cartridge","Remanufactured Black InkJet Cartridges for HP Deskjet/OfficeJet/Photosmart/PSC Printers - replace C8767WN (HP 96)","","http://www.compandsave.com/photos/INK-HP-C8767WN-2.jpg","18.16","C8767WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160306643"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9361WN&click=15","Remanufactured HP C9361WN Inkjet Cartridge","Remanufactured Tri-Color InkJet Cartridges for HP DeskJet 5440/PhotoSmart 7850/PSC 1510 Printers - replace C9361WN (HP 93)","","http://www.compandsave.com/photos/INK-HP-C9361WN-2.jpg","16.16","C9361WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160958989"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9362WN&click=15","Remanufactured HP C9362WN Inkjet Cartridge","Remanufactured Black InkJet Cartridges for HP DeskJet 5440/PhotoSmart 7850/PSC 1510 Printers - replace C9362WN (HP 92)","","http://www.compandsave.com/photos/INK-HP-C9362WN-2.jpg","16.16","C9362WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160958996"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9363WN&click=15","Remanufactured HP C9363WN Inkjet Cartridge","Remanufactured Tri-Color Inkjet Cartridges for HP DeskJet/OfficeJet/PhotoSmart/PSC Printers - replace C9363WN (HP 97)","","http://www.compandsave.com/photos/INK-HP-C9363WN-2.jpg","18.16","C9363WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160306681"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9364WN&click=15","Remanufactured HP C9364WN Inkjet Cartridge","Remanufactured Black InkJet Cartridges for HP Deskjet 5940, Photosmart 2575 InkJet Printers - replace C9364WN (HP 98)","","http://www.compandsave.com/photos/INK-HP-C9364WN-2.jpg","16.16","C9364WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00882780046542"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9369WN&click=15","Remanufactured HP C9369WN Inkjet Cartridge","Remanufactured Photo Color Inkjet Cartridges for HP DeskJet, OfficeJet, PhotoSmart, PSC Printers - replace C9369WN (HP 99)","","http://www.compandsave.com/photos/INK-HP-C9369WN-2.jpg","17.96","C9369WN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00829160306766"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9391AN-C9386AN&click=15","Compatible HP C9391AN / C9386AN Inkjet Cartridge","Compatible Cyan Inkjet Cartridges for HP OfficeJet Pro K550 Series Printers - replace C9391AN / C9386AN (HP 88)","","http://www.compandsave.com/photos/INK-HP-C9391AN-C9386AN-2.jpg","11.66","C9391AN / C9386AN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00882780169487"
"http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C9392AN-C9387AN&click=15","Compatible HP C9392AN / C9387AN Inkjet Cartridge","Compatible Magenta Inkjet Cartridges for HP OfficeJet Pro K550 Series Printers - replace C9392AN / C9387AN (HP 88)","","http://www.compandsave.com/photos/INK-HP-C9392AN-C9387AN-2.jpg","11.66","C9392AN / C9387AN","300161 : Computers / Accessories / Printer Supplies","3.99","New","No Sales Tax. Fast shipping.","YES","00882780169494"
